公司,航班号,起飞机场,到达机场,起飞时间,到达时间,机型,价格,最大折扣,满载,当前人数,起始城市,到达城市
中国国际航空公司,CA1503,首都国际机场,禄口国际机场,17:00,18:50,JET,2019,0.2,110,105,北京,南京
中国国际航空公司,CA4980,遥墙机场,高崎国际机场,19:05,21:15,733,2304,0.4,260,252,济南,厦门
中国南方航空(集团)公司,CZ6780,新白云国际机场,美兰机场,23:50,0:50,733,3117,0.3,270,263,广州,海口
中国南方航空(集团)公司,CZ6288,天河机场,两江国际机场,14:50,16:15,73G,3140,0.5,250,241,武汉,桂林
中国国际航空公司,CA1642,周水子机场,首都国际机场,14:15,15:25,JET,2954,0.4,150,146,大连,北京
中国国际航空公司,CA4796,河东机场,流亭机场,11:50,14:50,CR2,1476,0.33,270,261,银川,青岛
中国南方航空(集团)公司,CZ3129,黄花机场,骆岗机场,12:20,13:30,320,2001,0.41,300,291,长沙,合肥
四川航空股份有限公司,3U3203,滨海国际机场,永强机场,15:30,17:55,EMB,2389,0.4,100,95,天津,温州
中国南方航空(集团)公司,CZ6716,首都国际机场,凤凰国际机场,19:00,22:30,321,2695,0,110,106,北京,三亚
中国南方航空(集团)公司,CZ6424,咸阳机场,周水子机场,19:40,22:50,319,1865,0.3,220,215,西安,大连
中国国际航空公司,CA4169,巫家坝国际机场,首都国际机场,9:55,13:00,738,1932,0.5,200,197,昆明,北京
中国国际航空公司,CA1225,首都国际机场,两江国际机场,15:30,20:10,738,2522,0.2,100,92,北京,桂林
上海航空公司,FM5393,虹桥国际机场,新郑机场,9:55,11:45,737,2948,0.2,260,251,上海,郑州
中国南方航空(集团)公司,CZ6958,美兰机场,太原武宿机场,17:10,20:15,73G,2582,0.4,120,115,海口,太原
中国南方航空(集团)公司,CZ6506,浦东国际机场,桃仙机场,15:05,17:00,M90,2876,0.2,190,184,上海,沈阳
中国南方航空(集团)公司,CZ6712,首都国际机场,凤凰国际机场,13:15,17:10,321,1369,0.2,120,115,北京,三亚
中国南方航空(集团)公司,CZ6761,栎社机场,太平机场,11:00,15:00,321,2533,0.3,120,117,宁波,哈尔滨
中国南方航空(集团)公司,CZ6415,白塔机场,巫家坝国际机场,21:00,23:55,319,2716,0.3,160,155,呼和浩特,昆明
中国南方航空(集团)公司,CZ3373,新白云国际机场,永州机场,8:15,11:00,ERJ,3256,0,280,276,广州,永州
四川航空股份有限公司,3U8886,首都国际机场,双流国际机场,15:25,18:05,321,2516,0.2,260,253,北京,成都
中国国际航空公司,CA4206,曹家堡机场,双流国际机场,16:30,17:55,319,2343,0.5,240,236,西宁,成都
中国国际航空公司,CA4911,遥墙机场,地窝堡国际机场,13:50,19:05,JET,2188,0.02,150,145,济南,乌鲁木齐
中国南方航空(集团)公司,CZ3570,萧山国际机场,宝安国际机场,11:35,13:40,319,1679,0.3,280,273,杭州,深圳
中国南方航空(集团)公司,CZ6657,首都国际机场,太平机场,7:35,9:20,320,2705,0.2,220,215,北京,哈尔滨
中国南方航空(集团)公司,CZ6116,首都国际机场,桃仙机场,7:50,9:00,319,1788,0.4,230,224,北京,沈阳
上海航空公司,FM5583,虹桥国际机场,永强机场,17:25,18:25,733,3109,0.48,150,141,上海,温州
中国南方航空(集团)公司,CZ3240,宝安国际机场,两江国际机场,11:00,12:00,738,3146,0.1,140,133,深圳,桂林
上海航空公司,FM5430,龙洞堡机场,虹桥国际机场,11:30,13:40,320,2599,0.37,180,177,贵阳,上海
中国南方航空(集团)公司,CZ6267,首都国际机场,伊春林都机场,7:45,11:30,320,3688,0.4,280,273,北京,伊春
中国国际航空公司,CA8231,天河机场,新白云国际机场,14:10,15:45,320,3258,0,190,183,武汉,广州
中国南方航空(集团)公司,CZ3826,长乐机场,新郑机场,12:10,15:20,733,1436,0.08,270,263,福州,郑州
中国南方航空(集团)公司,CZ6108,首都国际机场,桃仙机场,17:00,18:10,319,3243,0.4,180,176,北京,沈阳
中国国际航空公司,CA4913,高崎国际机场,三灶机场,11:25,12:35,738,2031,0.26,220,212,厦门,珠海
上海航空公司,FM5377,虹桥国际机场,黄花机场,9:50,11:30,M90,2292,0,150,141,上海,长沙
中国南方航空(集团)公司,CZ3779,新白云国际机场,栎社机场,17:50,19:40,321,2939,0.1,200,197,广州,宁波
中国南方航空(集团)公司,CZ3265,两江国际机场,流亭机场,12:55,17:00,73G,3198,0.2,170,163,桂林,青岛
中国南方航空(集团)公司,CZ3429,新白云国际机场,南充机场,8:15,10:40,ERJ,2002,0,100,93,广州,南充
中国国际航空公司,CA1835,首都国际机场,骆岗机场,7:50,9:45,JET,3233,0,250,243,北京,合肥
鹰联航空公司,EU2227,吴圩机场,永强机场,11:50,15:10,319,1266,0.1,150,143,南宁,温州
奥凯航空,BK2812,巫家坝国际机场,滨海国际机场,18:35,23:10,738,2035,0,160,150,昆明,天津
中国国际航空公司,CA4718,白塔机场,滨海国际机场,11:10,12:15,CR7,2237,0.1,190,180,呼和浩特,天津
中国南方航空(集团)公司,CZ5101,虹桥国际机场,首都国际机场,8:00,9:55,333,1947,0.3,230,223,上海,北京
中国南方航空(集团)公司,CZ3859,两江国际机场,江北国际机场,10:30,11:35,733,1826,0.2,260,251,桂林,重庆
中国国际航空公司,CA1778,咸阳机场,萧山国际机场,14:45,16:40,319,1422,0.3,130,127,西安,杭州
中国南方航空(集团)公司,CZ3432,巫家坝国际机场,美兰机场,10:45,12:30,733,3400,0.4,120,111,昆明,海口
中国国际航空公司,CA4329,双流国际机场,宝安国际机场,13:50,15:55,319,1450,0.24,230,226,成都,深圳
中国南方航空(集团)公司,CZ6260,永强机场,太平机场,18:05,22:25,M90,1346,0.2,180,173,温州,哈尔滨
中国南方航空(集团)公司,CZ3379,黄花机场,新白云国际机场,14:20,15:30,320,2510,0.48,300,294,长沙,广州
中国南方航空(集团)公司,CZ6233,太原武宿机场,桃仙机场,16:30,17:50,738,2196,0,130,127,太原,沈阳
中国南方航空(集团)公司,CZ3216,咸阳机场,新白云国际机场,8:00,10:20,319,1215,0.2,270,266,西安,广州
中国南方航空(集团)公司,CZ8137,江北国际机场,西双版纳机场,7:45,9:15,319,1698,0.32,120,114,重庆,景洪
中国南方航空(集团)公司,CZ8125,江北国际机场,高崎国际机场,14:55,18:05,320,2808,0.4,290,287,重庆,厦门
中国南方航空(集团)公司,CZ3466,江北国际机场,宝安国际机场,11:30,13:10,320,2043,0.2,150,143,重庆,深圳
中国国际航空公司,CA4734,龙洞堡机场,咸阳机场,19:35,20:55,CR7,3350,0.2,190,184,贵阳,西安
中国国际航空公司,CA1834,高崎国际机场,首都国际机场,15:30,18:05,JET,2029,0.3,100,94,厦门,北京
中国南方航空(集团)公司,CZ6255,太平机场,咸阳机场,14:00,16:55,320,2592,0.2,200,196,哈尔滨,西安
四川航空股份有限公司,3U8794,江北国际机场,新白云国际机场,17:40,19:25,319,3328,0.2,100,90,重庆,广州
中国国际航空公司,CA903,首都国际机场,吴圩机场,20:15,23:45,733,2318,0.5,290,280,北京,南宁
中国南方航空(集团)公司,CZ3484,双流国际机场,新白云国际机场,21:20,23:15,757,3796,0.44,270,266,成都,广州
中国国际航空公司,CA4320,新白云国际机场,江北国际机场,10:45,12:30,JET,2992,0.3,210,207,广州,重庆
中国南方航空(集团)公司,CZ6211,太原武宿机场,宝安国际机场,20:00,22:50,319,2740,0.5,260,255,太原,深圳
中国国际航空公司,CA4662,虹桥国际机场,流亭机场,14:15,15:35,738,2566,0,230,226,上海,青岛
中国国际航空公司,CA1312,两江国际机场,首都国际机场,11:40,14:15,JET,1981,0.1,260,253,桂林,北京
中国国际航空公司,CA1451,首都国际机场,绵阳机场,7:50,10:05,738,2795,0.3,200,194,北京,绵阳
中国南方航空(集团)公司,CZ3884,义乌机场,新白云国际机场,14:00,15:40,733,2878,0.1,280,273,义乌,广州
中国国际航空公司,CA4480,九黄机场,双流国际机场,12:15,13:00,757,2441,0.4,160,151,九寨沟,成都
中国国际航空公司,CA4324,两江国际机场,双流国际机场,21:40,23:25,JET,3263,0.3,250,242,桂林,成都
中国南方航空(集团)公司,CZ3860,江北国际机场,外砂机场,12:20,15:25,733,2468,0.1,140,135,重庆,汕头
中国南方航空(集团)公司,CZ5020,首都国际机场,咸阳机场,18:25,20:25,320,3237,0.3,300,292,北京,西安
中国南方航空(集团)公司,CZ3454,双流国际机场,宝安国际机场,16:05,17:55,320,1945,0.4,110,103,成都,深圳
中国国际航空公司,CA1845,首都国际机场,骆岗机场,20:05,21:50,738,3405,0.4,200,193,北京,合肥
中国国际航空公司,CA1476,天河机场,首都国际机场,14:05,16:00,JET,2508,0.4,110,100,武汉,北京
中国南方航空(集团)公司,CZ366,新白云国际机场,长乐机场,13:20,14:50,320,2943,0.1,100,92,广州,福州
中国南方航空(集团)公司,CZ6949,地窝堡国际机场,巫家坝国际机场,9:40,15:05,73G,2353,0.4,220,216,乌鲁木齐,昆明
中国南方航空(集团)公司,CZ6581,禄口国际机场,昌北机场,17:20,18:25,JET,1683,0.2,230,225,南京,南昌
中国南方航空(集团)公司,CZ3256,黄金机场,首都国际机场,10:00,12:30,319,3327,0.3,100,92,赣州,北京
中国南方航空(集团)公司,CZ6501,桃仙机场,浦东国际机场,15:10,17:10,321,2791,0.2,290,287,沈阳,上海
中国国际航空公司,CA4587,双流国际机场,天河机场,18:40,20:25,319,2176,0.29,270,267,成都,武汉
中国国际航空公司,CA4671,流亭机场,临沂机场,16:25,17:00,738,2303,0.5,190,183,青岛,临沂
中国国际航空公司,CA1176,新白云国际机场,莱山机场,12:15,16:20,733,3873,0.3,170,166,广州,烟台
中国南方航空(集团)公司,CZ3758,吴圩机场,萧山国际机场,16:40,20:00,738,3454,0.06,110,100,南宁,杭州
四川航空股份有限公司,3U8961,双流国际机场,浦东国际机场,7:50,10:05,320,2788,0.5,120,110,成都,上海
中国南方航空(集团)公司,CZ3342,美兰机场,吴圩机场,20:40,21:40,73G,1629,0.4,290,280,海口,南宁
中国南方航空(集团)公司,CZ6621,周水子机场,朝阳川机场,17:25,20:00,319,2401,0.2,250,242,大连,延吉
中国南方航空(集团)公司,CZ6251,太平机场,浦东国际机场,15:00,17:55,JET,2128,0.4,140,132,哈尔滨,上海
中国南方航空(集团)公司,CZ3759,周水子机场,黄花机场,14:30,18:25,319,2578,0.35,180,172,大连,长沙
中国南方航空(集团)公司,CZ6756,浪头机场,浦东国际机场,16:00,17:55,320,1628,0.4,230,224,丹东,上海
中国国际航空公司,CA1339,首都国际机场,新白云国际机场,12:00,15:00,738,2872,0.2,220,215,北京,广州
四川航空股份有限公司,3U8820,白塔机场,双流国际机场,21:10,23:15,319,2690,0.3,250,240,呼和浩特,成都
中国南方航空(集团)公司,CZ6957,地窝堡国际机场,美兰机场,8:45,16:25,73G,2638,0.2,250,246,乌鲁木齐,海口
中国国际航空公司,CA4229,双流国际机场,龙洞堡机场,7:40,8:45,733,3462,0.1,120,110,成都,贵阳
中国南方航空(集团)公司,CZ3907,首都国际机场,虹桥国际机场,8:55,10:50,333,3329,0.1,100,92,北京,上海
中国南方航空(集团)公司,CZ6740,新白云国际机场,凤凰国际机场,19:45,20:55,320,3208,0.4,250,245,广州,三亚
中国南方航空(集团)公司,CZ3990,新郑机场,宝安国际机场,11:30,13:40,320,2373,0.2,180,176,郑州,深圳
中国南方航空(集团)公司,CZ3181,首都国际机场,禄口国际机场,19:15,21:05,333,2214,0.2,120,116,北京,南京
中国国际航空公司,CA4716,太原武宿机场,遥墙机场,11:20,12:20,CR2,2043,0,280,275,太原,济南
中国南方航空(集团)公司,CZ3453,宝安国际机场,双流国际机场,12:50,15:15,320,1523,0,290,285,深圳,成都
中国国际航空公司,CA1756,龙洞堡机场,萧山国际机场,21:45,23:30,319,2053,0,200,197,贵阳,杭州
中国国际航空公司,CA1649,首都国际机场,长春龙嘉国际机场,9:15,11:05,JET,2971,0.2,300,290,北京,长春
海航集团祥鹏航空公司,8L9951,西双版纳机场,巫家坝国际机场,23:50,0:35,737,3136,0,220,211,景洪,昆明
中国南方航空(集团)公司,CZ3880,高崎国际机场,新白云国际机场,16:30,17:45,319,2633,0.2,140,135,厦门,广州
中国南方航空(集团)公司,CZ6776,新白云国际机场,美兰机场,16:25,17:25,733,1844,0.4,210,207,广州,海口
中国国际航空公司,CA4731,永强机场,宝安国际机场,10:50,12:30,733,2631,0.4,300,296,温州,深圳
中国国际航空公司,CA1514,兴东机场,首都国际机场,18:10,20:00,JET,3370,0.49,300,290,南通,北京
中国国际航空公司,CA933,浦东国际机场,首都国际机场,9:30,11:50,340,2708,0.3,200,197,上海,北京
中国国际航空公司,CA4637,美兰机场,流亭机场,7:40,11:00,738,3177,0.3,220,214,海口,青岛
中国南方航空(集团)公司,CZ3411,新白云国际机场,龙洞堡机场,8:20,9:55,JET,2929,0.15,100,97,广州,贵阳
中国南方航空(集团)公司,CZ6255,咸阳机场,双流国际机场,18:00,19:15,JET,1273,0.4,240,232,西安,成都
中国国际航空公司,CA4964,龙洞堡机场,咸阳机场,12:10,13:35,738,2214,0,140,136,贵阳,西安
中国国际航空公司,CA4207,双流国际机场,中川机场,14:40,15:55,319,2701,0.2,170,161,成都,兰州
中国南方航空(集团)公司,CZ6278,凤凰国际机场,天河机场,16:30,18:50,320,2484,0.41,250,246,三亚,武汉
中国南方航空(集团)公司,CZ3407,新白云国际机场,巫家坝国际机场,13:40,15:55,JET,1304,0.2,260,251,广州,昆明
中国国际航空公司,CA1172,新白云国际机场,遥墙机场,20:20,22:50,733,1645,0.17,230,225,广州,济南
中国国际航空公司,CA4695,流亭机场,巫家坝国际机场,7:50,12:35,738,2483,0.3,230,227,青岛,昆明
中国南方航空(集团)公司,CZ5405,浦东国际机场,双流国际机场,12:25,15:40,320,2114,0.1,110,106,上海,成都
中国南方航空(集团)公司,CZ3165,新白云国际机场,怀化芷江机场,15:15,17:55,319,3188,0.2,130,120,广州,怀化
中国南方航空(集团)公司,CZ6622,桃仙机场,周水子机场,22:30,23:20,319,2027,0.3,190,184,沈阳,大连
中国南方航空(集团)公司,CZ3871,新白云国际机场,禄口国际机场,21:10,23:10,320,1941,0.3,270,261,广州,南京
中国国际航空公司,CA1326,新郑机场,首都国际机场,14:30,15:45,738,2925,0.2,280,273,郑州,北京
中国国际航空公司,CA1712,首都国际机场,萧山国际机场,13:00,14:55,320,2447,0.02,200,191,北京,杭州
中国南方航空(集团)公司,CZ3819,新白云国际机场,萧山国际机场,20:05,22:05,757,1934,0.2,240,230,广州,杭州
上海航空公司,FM5428,江北国际机场,浦东国际机场,20:30,22:30,320,2492,0.4,200,193,重庆,上海
中国南方航空(集团)公司,CZ3760,黄花机场,周水子机场,20:40,0:35,319,2687,0.5,240,236,长沙,大连
中国国际航空公司,CA4751,流亭机场,两江国际机场,7:55,12:00,JET,2634,0.5,150,141,青岛,桂林
中国国际航空公司,CA4354,新白云国际机场,江北国际机场,8:20,9:55,73G,2674,0.5,210,206,广州,重庆
中国国际航空公司,CA4726,长乐机场,流亭机场,20:35,23:40,CR7,1765,0.3,100,97,福州,青岛
中国南方航空(集团)公司,CZ3973,新郑机场,宝安国际机场,18:20,20:20,738,2239,0.4,260,251,郑州,深圳
中国南方航空(集团)公司,CZ3927,张家界机场,浦东国际机场,20:00,21:45,320,2676,0.13,260,250,张家界,上海
中国国际航空公司,CA1526,流亭机场,首都国际机场,7:55,9:20,738,2191,0.1,140,136,青岛,北京
四川航空股份有限公司,3U8858,长春龙嘉国际机场,新郑机场,18:50,21:05,319,2453,0.2,250,244,长春,郑州
中国南方航空(集团)公司,CZ3564,萧山国际机场,宝安国际机场,20:20,22:20,JET,3612,0.1,130,124,杭州,深圳
中国南方航空(集团)公司,CZ3459,宝安国际机场,巫家坝国际机场,9:00,10:55,320,2849,0.1,160,154,深圳,昆明
中国南方航空(集团)公司,CZ6959,咸阳机场,遥墙机场,14:40,16:10,73G,1843,0.4,160,156,西安,济南
中国国际航空公司,CA1177,遥墙机场,长乐机场,7:40,9:40,733,2052,0.4,100,95,济南,福州
奥凯航空,BK2857,禄口国际机场,泉州晋江机场,9:20,10:40,738,1845,0,150,145,南京,晋江
四川航空股份有限公司,3U8959,昌北机场,长乐机场,10:25,11:35,320,2506,0,220,217,南昌,福州
四川航空股份有限公司,3U8838,首都国际机场,巫家坝国际机场,19:00,23:15,319,2121,0.21,260,251,北京,昆明
中国南方航空(集团)公司,CZ3648,长乐机场,新白云国际机场,20:45,22:15,JET,3691,0.4,280,276,福州,广州
中国南方航空(集团)公司,CZ3941,黄花机场,骆岗机场,12:20,13:30,320,3623,0.1,120,112,长沙,合肥
海航集团祥鹏航空公司,8L9977,巫家坝国际机场,永强机场,7:40,10:10,JET,3554,0.1,300,294,昆明,温州
中国南方航空(集团)公司,CZ3428,禄口国际机场,江北国际机场,20:20,23:20,738,2154,0.2,230,224,南京,重庆
中国南方航空(集团)公司,CZ3158,新郑机场,新白云国际机场,18:10,20:10,733,2698,0.3,230,226,郑州,广州
中国南方航空(集团)公司,CZ6402,咸阳机场,桃仙机场,10:35,13:00,M90,3311,0.2,240,237,西安,沈阳
中国南方航空(集团)公司,CZ6465,黄花机场,凤凰国际机场,11:55,13:55,JET,2305,0.3,180,175,长沙,三亚
中国南方航空(集团)公司,CZ3670,流亭机场,天河机场,21:25,22:55,73G,2475,0.2,110,102,青岛,武汉
中国南方航空(集团)公司,CZ3480,吴圩机场,江北国际机场,20:05,21:25,738,3211,0.3,190,186,南宁,重庆
中国国际航空公司,CA1852,黄岩机场,首都国际机场,16:35,19:00,733,3275,0,200,193,台州,北京
中国南方航空(集团)公司,CZ3224,中川机场,咸阳机场,12:40,13:40,320,3297,0.2,290,285,兰州,西安
中国南方航空(集团)公司,CZ3970,虹桥国际机场,黄花机场,20:10,21:50,320,3557,0.1,270,266,上海,长沙
中国南方航空(集团)公司,CZ6995,地窝堡国际机场,虹桥国际机场,9:55,14:15,757,2596,0.2,150,140,乌鲁木齐,上海
中国南方航空(集团)公司,CZ6415,桃仙机场,巫家坝国际机场,18:30,23:55,319,2342,0.4,220,217,沈阳,昆明
中国南方航空(集团)公司,CZ3668,宝安国际机场,龙洞堡机场,18:20,20:00,73G,3005,0.1,120,116,深圳,贵阳
中国南方航空(集团)公司,CZ3552,浦东国际机场,宝安国际机场,18:15,20:30,320,2099,0.3,210,204,上海,深圳
中国南方航空(集团)公司,CZ6487,双流国际机场,青山机场,11:15,12:20,319,2512,0.4,300,294,成都,西昌
中国南方航空(集团)公司,CZ6344,长春龙嘉国际机场,新郑机场,14:30,16:40,733,2269,0,220,216,长春,郑州
中国国际航空公司,CA1537,首都国际机场,禄口国际机场,13:00,14:50,757,1989,0.3,150,147,北京,南京
中国国际航空公司,CA1961,永强机场,禄口国际机场,19:00,20:10,319,2485,0.4,110,104,温州,南京
中国南方航空(集团)公司,CZ6342,新白云国际机场,长春龙嘉国际机场,14:50,20:30,321,1693,0.23,240,231,广州,长春
中国南方航空(集团)公司,CZ6785,美兰机场,新白云国际机场,8:00,9:00,733,2235,0.4,280,273,海口,广州
中国国际航空公司,CA1546,莱山机场,首都国际机场,14:25,15:35,738,2125,0.2,150,142,烟台,北京
中国国际航空公司,CA1558,虹桥国际机场,首都国际机场,14:55,17:15,JET,3158,0.45,250,246,上海,北京
中国南方航空(集团)公司,CZ6632,莱山机场,周水子机场,20:40,21:20,319,2459,0.5,150,142,烟台,大连
中国南方航空(集团)公司,CZ8122,巫家坝国际机场,江北国际机场,10:05,11:20,319,2173,0.46,120,113,昆明,重庆
中国南方航空(集团)公司,CZ6037,地窝堡国际机场,江北国际机场,10:35,13:50,73G,1760,0.1,240,235,乌鲁木齐,重庆
中国国际航空公司,CA1151,遥墙机场,首都国际机场,7:55,8:50,733,1323,0.3,100,95,济南,北京
中国南方航空(集团)公司,CZ3430,南充机场,新白云国际机场,17:15,19:15,JET,2432,0.2,120,114,南充,广州
中国南方航空(集团)公司,CZ3331,新白云国际机场,吴圩机场,16:15,17:25,319,2796,0.06,220,214,广州,南宁
中国国际航空公司,CA1884,浦东国际机场,首都国际机场,16:00,18:15,340,1767,0.1,220,217,上海,北京
中国国际航空公司,CA4170,首都国际机场,巫家坝国际机场,14:05,17:20,738,3485,0.1,220,216,北京,昆明
中国国际航空公司,CA4934,天河机场,遥墙机场,15:10,16:30,737,1949,0,230,221,武汉,济南
四川航空股份有限公司,3U8715,江北国际机场,凤凰国际机场,19:15,21:15,320,2146,0.2,130,125,重庆,三亚
中国南方航空(集团)公司,CZ6457,周水子机场,河东机场,8:00,11:05,319,2364,0.4,180,171,大连,银川
中国国际航空公司,CA1777,萧山国际机场,咸阳机场,7:50,9:45,319,2379,0.1,100,92,杭州,西安
中国国际航空公司,CA1807,首都国际机场,长乐机场,16:20,18:50,JET,3014,0.3,290,281,北京,福州
中国南方航空(集团)公司,CZ3815,新白云国际机场,奔牛机场,12:45,14:55,JET,1712,0.3,150,143,广州,常州
中国南方航空(集团)公司,CZ3577,宝安国际机场,长乐机场,14:00,15:05,320,2634,0.3,200,190,深圳,福州
中国南方航空(集团)公司,CZ395,高崎国际机场,新白云国际机场,16:30,17:45,319,2083,0.4,250,243,厦门,广州
中国南方航空(集团)公司,CZ3605,新白云国际机场,长春龙嘉国际机场,9:35,13:40,320,2676,0.12,280,271,广州,长春
四川航空股份有限公司,3U8805,江北国际机场,咸阳机场,14:10,15:20,319,1927,0.5,270,262,重庆,西安
中国南方航空(集团)公司,CZ3983,张家界机场,桃仙机场,6:50,12:35,320,1515,0.1,260,253,张家界,沈阳
上海航空公司,FM5307,虹桥国际机场,新白云国际机场,13:30,15:25,733,2348,0.1,150,144,上海,广州
中国南方航空(集团)公司,CZ6264,咸阳机场,正定国际机场,20:15,21:25,M90,2167,0.1,130,126,西安,石家庄
中国南方航空(集团)公司,CZ6590,许家坪机场,新白云国际机场,18:30,22:00,73G,2807,0.2,190,185,恩施,广州
